index,ames,smiles
ext_2,1,C1O[C@@H]1[C@H]1CO1
ext_4,0,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
ext_5,1,Nc1ccc2cc3ccccc3cc2c1
ext_6,1,CC(=O)Nc1ccc2-c3c(Cc2c1)cccc3
ext_8,1,c1ccc2cc3ccccc3cc2c1
ext_10,0,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
ext_11,0,[O-]C(=O)CN(CC(=O)[O-])CC(=O)[O-]
ext_15,1,Cc1ccc(N)cc1N
ext_16,1,O=NN1CCCC1
ext_17,0,CC(=O)Oc1ccccc1C(=O)O
ext_19,1,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
ext_23,1,ClCC1CO1
ext_24,0,C=Cc1ccccc1
ext_26,0,CC(CN1c2ccccc2Sc2ccccc12)N(C)C
ext_28,1,Cc1c2ccccc2c(C)c2c3ccccc3ccc12
ext_31,0,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1
ext_32,1,CCC1CO1
ext_33,0,Cc1ccc(N)cc1
ext_34,0,CC(O)CN
ext_37,0,[S-]C(=S)NCCNC(=S)[S-]
ext_38,1,OCC1CO1
ext_41,1,OC1OC(=O)C(=C1C(Cl)Cl)Cl
ext_42,1,CCOS(=O)(=O)C
ext_43,0,CCOc1ccc(NC(=O)C)cc1
ext_44,0,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl
ext_49,1,CC(O)CN(CC(C)O)N=O
ext_52,0,CC(=C)CCl
ext_55,0,CCCCC(CC)CO
ext_56,1,CCCCC(CC)COC(=O)c1ccc(N(C)C)c(c1)[N+](=O)[O-]
ext_57,0,OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
ext_58,1,O=NN1CCCC1c1cccnc1
ext_60,0,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc1cccc(Oc2ccccc2)c1
ext_61,1,CC(O)CN(C)N=O
ext_62,0,CCC(CO)[N+](=O)[O-]
ext_63,1,CC(=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C)C
ext_65,1,CC(O)CN(CC(=O)C)N=O
ext_66,0,CCCCC(CC)C(=O)O
ext_67,0,[O-]S(=O)(=O)c1ccc(N/N=C\2/C(=O)C=Cc3cc(ccc23)S(=O)(=O)[O-])cc1
ext_68,0,Nc1ccc(Cl)c(Cl)c1
ext_69,1,CC(CN(CC(C)OC(=O)C)N=O)OC(=O)C
ext_70,1,Nc1c2ccccc2nc2ccccc12
ext_72,0,CCCCC(CC)COC(=O)c1ccccc1C(=O)O
ext_73,0,OC(=O)c1cc2ccccc2cc1O
ext_75,0,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
ext_76,0,CNC(=O)Oc1ccc2[NH+](C)[C@H]3[NH+](C)CC[C@@]3(C)c2c1
ext_77,0,Oc1cc(O)c2c(=O)cc(oc2c1)c1ccc(O)c(O)c1
ext_78,1,COc1cc(NC(C)CCCN)c2ncccc2c1
ext_81,0,O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1
ext_83,0,C[Si](C)(C)Cl
ext_84,0,c1cc(c(cc1c1cc(c(cc1)N=Nc1c(c2c(cc(cc2cc1S(=O)(=O)[O-])S(=O)(=O)[O-])N)O)O)O)N=Nc1c(c2c(cc(cc2cc1S(=O)(=O)[O-])S(=O)(=O)[O-])N)O
ext_86,1,NC(CS)C(=O)O
ext_88,0,CCCCCCCCCCCCCCCCC1CO1
ext_90,1,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
ext_93,0,CC(=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C)C
ext_95,0,CN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
ext_96,1,CC(=O)CC(=O)C
ext_97,0,NC(CCC(=O)O)C(=O)[O-]
ext_101,0,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(=O)O)[C@H]2NC(=O)C)[C@H](O)[C@H]1O)C(=O)O
ext_102,1,CCOCCCl
ext_105,0,O=C=NCCCCCCN=C=O
ext_106,0,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
ext_107,0,OCC(O)C1OC(=C(O)C1=O)O
ext_108,0,C=CC1CCC=CC1
ext_109,0,CC(O)c1ccccc1
ext_112,1,Oc1ccc(O)c2C(=O)c3ccccc3C(=O)c12
ext_118,0,OC(=O)C1=NN(C(=O)C1N=Nc1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)O
ext_119,0,CC(CC(=O)O)C(=O)O
ext_120,1,c1cc2ccc3cccc4ccc(c1)c2c34
ext_122,0,CCCCC(CC)COCC1CO1
ext_123,1,CC/C=C/C=C/C=C/C=C/C=C/OC[C@@H](O)CO
ext_124,0,CCC(C)Nc1ccc(NC(C)CC)cc1
ext_127,0,c1cc[n+](c(c1)[S-])[O-]
ext_129,1,O[C@H]1C=Cc2cc3ccc4cccc5ccc(c2[C@@H]1O)c3c45
ext_130,0,COC(=O)C(C1CCCCN1)c1ccccc1
ext_131,0,CN1CCC(C1)CN1c2ccccc2Sc2ccccc12
